-139 209 -203 131 -253 260 226 -255 -209 104 -40 -33
-123 -79 61 -179 245 268 111 99 -205 -294 -243 121
122 168 -163 -194 9 -205 -194 148 -124 -45 -164 19
48 -254 163 215 286 77 -96 34 -73 -143 -237 43
-187 245 -32 -103 -3 -124 -13 73 7 -290 -92 101
265 59 -247 28 -173 -105 24 147 11 -191 42 233
-294 264 -164 122 119 -59 129 223 -201 -38 241 -238
128 113 276 -220 239 -69 -291 -239 85 180 113 -54
-131 -178 125 169 34 188 107 44 137 -122 220 206
223 134 -45 -63 61 -100 -62 -100 149 260 138 -149
187 -35 270 222 -224 -297 -296 -83 120 -114 -174 232
214 114 174 73 95 -174 -165 16 -83 240 -180 243
